Date;Close Price
2017-03-03;1226.5
2017-03-06;1231
2017-03-07;1216.7
2017-03-08;1209.2
2017-03-09;1206.6
2017-03-10;1202.7
2017-03-13;1204.2
2017-03-14;1204.6
2017-03-15;1198.8
2017-03-16;1229.4
2017-03-17;1229.6
2017-03-20;1232.4
2017-03-21;1241.6
2017-03-22;1249.1
2017-03-23;1247.5
2017-03-24;1247.5
2017-03-27;1257.6
2017-03-28;1257.3
2017-03-29;1251.1
2017-03-30;1248.8
2017-03-31;1244.9
2017-04-03;1247.3
2017-04-04;1257.7
2017-04-05;1245.8
2017-04-06;1252.5
2017-04-07;1266.5
2017-04-10;1250.1
2017-04-11;1252.9
2017-04-12;1274.3
2017-04-13;1284.2
2017-04-14;1284.2
2017-04-17;1284.2
2017-04-18;1279
2017-04-19;1279.1
2017-04-20;1282.1
2017-04-21;1281.9
2017-04-24;1269.4
2017-04-25;1267.8
2017-04-26;1261.9
2017-04-27;1262.8
2017-04-28;1266.5
2017-05-01;1266.5
2017-05-02;1255.5
2017-05-03;1250.3
2017-05-04;1228.5
2017-05-05;1228.1
2017-05-08;1229.8
2017-05-09;1220.4
2017-05-10;1223
2017-05-11;1223.2
2017-05-12;1231.3
2017-05-15;1233.3
2017-05-16;1234.2
2017-05-17;1257.4
2017-05-18;1255.9
2017-05-19;1252
2017-05-22;1258.9
2017-05-23;1260.2
2017-05-24;1252.6
2017-05-25;1257
2017-05-26;1265.1
2017-05-29;1265.1
2017-05-30;1262.7
2017-05-31;1266.2
2017-06-01;1264.9
2017-06-02;1275
2017-06-05;1280
2017-06-06;1293.5
2017-06-07;1291
2017-06-08;1273.1
2017-06-09;1266.6
2017-06-12;1266.4
2017-06-13;1262
2017-06-14;1275.5
2017-06-15;1254.6
2017-06-16;1255.4
2017-06-19;1248.2
2017-06-20;1242.2
2017-06-21;1242.5
2017-06-22;1250.8
2017-06-23;1255.7
2017-06-26;1245.3
2017-06-27;1249.6
2017-06-28;1248
2017-06-29;1243.5
2017-06-30;1242.3
2017-07-03;1229.3
2017-07-04;1223.8
2017-07-05;1220.3
2017-07-06;1224.9
2017-07-07;1215.7
2017-07-10;1211.9
2017-07-11;1211.1
2017-07-12;1218.8
2017-07-13;1218.9
2017-07-14;1230.3
2017-07-17;1234.1
2017-07-18;1240.8
2017-07-19;1242.2
2017-07-20;1238.7
2017-07-21;1248.6
2017-07-24;1255.6
2017-07-25;1254.4
2017-07-26;1248.1
2017-07-27;1261.1
2017-07-28;1264.9
2017-07-31;1267.6
2017-08-01;1271
2017-08-02;1269.6
2017-08-03;1268.1
2017-08-04;1257.7
2017-08-07;1258
2017-08-08;1261.8
2017-08-09;1271.1
2017-08-10;1284.4
2017-08-11;1286.1
2017-08-14;1282.3
2017-08-15;1270.3
2017-08-16;1272.8
2017-08-17;1285.2
2017-08-18;1295.8
2017-08-21;1292.9
2017-08-22;1284.2
2017-08-23;1286.7
2017-08-24;1289
2017-08-25;1285.3
2017-08-28;1285.3
2017-08-29;1318.7
2017-08-30;1308.5
2017-08-31;1311.8
2017-09-01;1320.4
2017-09-04;1333.1
2017-09-05;1335.6
2017-09-06;1337.9
2017-09-07;1343.5
2017-09-08;1346.3
2017-09-11;1334.2
2017-09-12;1326.5
2017-09-13;1327.6
2017-09-14;1324.6
2017-09-15;1322.9
2017-09-18;1312.1
2017-09-19;1309.6
2017-09-20;1311.3
2017-09-21;1292.1
2017-09-22;1294.8
2017-09-25;1293.3
